t,h,s,v,vs,altitude,vertical_rate,groundspeed,fuel_burn,co2,fuel_burn_h2,co2_h2,co2_savings
0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,19.3,0.0,0,0,37,0.07449800000000001,0.23541368000000004,0.029799200000000005,0.09416547200000001,0.14124820800000004
20,0.0,193.0,38.6,0.0,0,0,75,0.29799200000000003,0.9416547200000002,0.11919680000000002,0.37666188800000006,0.5649928320000002
30,0.0,579.0,57.900000000000006,0.0,0,0,112,0.6704820000000001,2.1187231200000007,0.26819280000000006,0.8474892480000003,1.2712338720000005
40,0.0,1158.0,77.2,0.0,0,0,150,1.1919680000000001,3.7666188800000007,0.4767872000000001,1.5066475520000002,2.2599713280000007
50,0.0,1930.0,96.5,0.0,0,0,187,1.8624500000000002,5.8853420000000005,0.7449800000000001,2.3541368000000005,3.5312052
60,0.0,2895.0,101.5,12.59,0,2478,197,2.06045,6.511022,0.82418,2.6044088000000003,3.9066131999999993
70,125.9,3910.0,106.5,12.59,413,2478,207,2.26845,7.168302000000001,0.9073800000000001,2.8673208000000003,4.300981200000001
80,251.8,4975.0,111.5,12.59,826,2478,216,2.4864500000000005,7.857182000000002,0.9945800000000002,3.142872800000001,4.714309200000001
90,377.70000000000005,6090.0,116.5,12.59,1239,2478,226,2.7144500000000003,8.577662000000002,1.0857800000000002,3.4310648000000006,5.146597200000001
100,503.6,7255.0,121.5,10.25,1652,2017,236,2.9524500000000002,9.329742000000001,1.1809800000000001,3.731896800000001,5.5978452
110,606.1,8470.0,126.5,10.25,1988,2017,245,3.20045,10.113422,1.28018,4.0453688,6.0680532
120,708.6,9735.0,131.5,10.25,2324,2017,255,3.45845,10.928702000000001,1.38338,4.3714808000000005,6.557221200000001
130,811.1,11050.0,136.5,10.25,2661,2017,265,3.72645,11.775582,1.49058,4.7102328,7.0653492
140,913.6,12415.0,141.5,10.25,2997,2017,275,4.00445,12.654062000000001,1.6017800000000002,5.061624800000001,7.592437200000001
150,1016.1,13830.0,146.5,10.25,3333,2017,284,4.2924500000000005,13.564142000000002,1.7169800000000004,5.425656800000001,8.138485200000002
160,1118.6,15295.0,151.5,10.25,3669,2017,294,4.590450000000001,14.505822000000002,1.8361800000000004,5.8023288000000015,8.7034932
170,1221.1,16810.0,156.5,10.25,4006,2017,304,4.89845,15.479102000000003,1.9593800000000003,6.191640800000001,9.287461200000003
180,1323.6,18375.0,160.4236007442779,10.25,4342,2017,311,5.147146335151897,16.264982419079995,2.0588585340607586,6.505992967631998,9.758989451447999
190,1426.1,19979.236007442778,161.18596371471264,10.25,4678,2017,313,5.196182979728132,16.419938215940896,2.078473191891253,6.56797528637636,9.851962929564536
200,1528.6,21591.095644589903,161.9531740125982,10.25,5015,2017,314,5.245766114550983,16.576620921981107,2.098306445820393,6.630648368792443,9.945972553188664
210,1631.1,23210.627384715885,162.72526475819186,10.25,5351,2017,316,5.295902358124728,16.735051451674142,2.118360943249891,6.694020580669656,10.041030871004486
220,1733.6,24837.880032297802,163.50226921649568,10.25,5687,2017,317,5.346598407788687,16.89525096861225,2.1386393631154745,6.7581003874449,10.137150581167349
230,1836.1,26472.902724462758,164.28422079492162,10.25,6023,2017,319,5.3978610404389125,17.057240887786964,2.159144416175565,6.822896355114786,10.234344532672178
240,1938.6,28115.744932411973,165.07115304085607,10.25,6360,2017,320,5.449697113247546,17.221042877862246,2.1798788452990183,6.888417151144898,10.332625726717348
250,2041.1,29766.456462820533,165.86309963911683,10.25,6696,2017,322,5.50211356437912,17.38667886343802,2.200845425751648,6.9546715453752075,10.432007318062814
260,2143.6,31425.087459211703,166.66009440930733,10.25,7032,2017,323,5.555117413703847,17.554171027304157,2.222046965481539,7.021668410921663,10.532502616382494
270,2246.1,33091.688403304775,167.46217130306056,10.25,7369,2017,325,5.608715763507121,17.7235418126825,2.243486305402848,7.089416725073001,10.634125087609501
280,2348.6,34766.31011633538,168.2693644011722,10.25,7705,2017,327,5.662915799194895,17.894813925455868,2.265166319677958,7.157925570182348,10.73688835527352
290,2451.1,36449.0037603471,169.08170791062392,10.25,8041,2017,328,5.717724789994709,18.06801033638328,2.2870899159978837,7.227204134553313,10.840806201829968
300,2553.6,38139.820839453336,169.8992361614868,10.25,8377,2017,330,5.773150089651335,18.243154283298217,2.3092600358605337,7.297261713319287,10.94589256997893
310,2656.1,39838.8132010682,170.72198360371067,10.25,8714,2017,331,5.829199137117131,18.420269273290135,2.3316796548468526,7.368107709316054,11.052161563974082
320,2758.6,41546.033037105306,171.54998480379444,10.25,9050,2017,333,5.885879457236421,18.599379084867092,2.3543517828945686,7.4397516339468375,11.159627450920254
330,2861.1,43261.53288514325,172.38327444133208,10.25,9386,2017,335,5.943198661423122,18.780507770097067,2.377279464569249,7.512203108038827,11.26830466205824
340,2963.6,44985.36562955657,173.22188730543562,10.25,9723,2017,336,6.001164448331408,18.963679656727248,2.4004657793325634,7.585471862690901,11.378207794036346
350,3066.1,46717.584502610924,174.06585829103392,10.25,10059,2017,338,6.05978460451886,19.1489193502796,2.4239138418075443,7.65956774011184,11.489351610167759
360,3168.6,48458.243085521266,174.91522239503897,10.25,10395,2017,340,6.119067005101188,19.336251736119756,2.4476268020404754,7.7345006944479024,11.601751041671854
370,3271.1,50207.395309471656,175.77001471238563,10.25,10731,2017,341,6.179019614398453,19.525701981499115,2.4716078457593813,7.810280792599645,11.71542118889947
380,3373.6,51965.09545659551,176.63027043193455,10.25,11068,2017,343,6.2396504865716675,19.71729553756647,2.4958601946286674,7.886918215026589,11.830377322539881
390,3476.1,53731.398160914854,177.4960248322423,10.25,11404,2017,345,6.300967766249597,19.91105814134873,2.520387106499839,7.964423256539492,11.946634884809237
400,3578.6,55506.35840923728,178.36731327719497,10.25,11740,2017,346,6.3629796891450034,20.107015817698212,2.5451918756580016,8.042806327079285,12.064209490618927
410,3681.1,57290.03154200922,179.24417121149878,10.25,12077,2017,348,6.425694582659418,20.30519488120376,2.5702778330637672,8.122077952481504,12.183116928722256
420,3783.6,59082.47325412421,180.12663415603208,8.43,12413,1659,350,6.489120866476204,20.505621938064806,2.595648346590482,8.202248775225923,12.303373162838882
430,3867.9,60883.739595684536,180.85663173268665,8.43,12689,1659,351,6.5418242483385285,20.67216462474975,2.6167296993354117,8.268865849899901,12.40329877484985
440,3952.2000000000003,62692.305913011405,181.59046447917981,8.43,12966,1659,352,6.595019357952855,20.840261171131022,2.638007743181142,8.336104468452408,12.504156702678614
450,4036.5000000000005,64508.210557803206,182.32815225797748,8.43,13243,1659,354,6.648711021161644,21.009926826870796,2.6594844084646576,8.403970730748318,12.605956096122478
